LGA_CODE,LGA_NAME_2021,IRSD_SCORE_2021,IRSD_DECILE_2021,IRSAD_SCORE_2021,IRSAD_DECILE_2021,IER_SCORE_2021,IER_DECILE_2021,IEO_SCORE_2021,IEO_DECILE_2021
60410,Brighton,885,1,862,1,924,2,849,1
60610,Burnie,920,2,895,2,924,2,890,2
60810,Central Coast (Tas.),958,4,923,3,969,4,914,3
61010,Central Highlands (Tas.),911,2,888,2,948,3,886,2
61210,Circular Head,943,3,908,2,966,4,884,2
61410,Clarence,1009,8,989,8,992,7,992,8
61510,Derwent Valley,913,2,879,2,950,3,856,1
61610,Devonport,906,2,883,2,920,2,884,2
61810,Dorset,932,3,900,2,957,3,887,2
62010,Flinders (Tas.),963,4,947,5,941,2,968,7
62210,George Town,860,1,846,1,906,2,846,1
62410,Glamorgan-Spring Bay,950,4,924,3,962,4,920,4
62610,Glenorchy,927,2,911,3,914,2,918,4
62810,Hobart,1046,9,1062,10,970,4,1104,10
63010,Huon Valley,974,5,946,5,985,6,958,7
63210,Kentish,953,4,918,3,986,6,898,2
63410,King Island,993,7,955,6,987,6,941,5
63610,Kingborough,1038,9,1020,9,1013,8,1039,9
63810,Latrobe (Tas.),974,5,928,4,982,5,905,3
64010,Launceston,939,3,926,3,929,2,941,5
64210,Meander Valley,976,5,940,4,983,6,924,4
64610,Northern Midlands,966,5,929,4,975,5,912,3
64810,Sorell,991,6,946,5,993,7,932,5
65010,Southern Midlands,951,4,911,3,1000,7,887,2
65210,Tasman,923,2,902,2,943,3,931,5
65410,Waratah-Wynyard,929,2,900,2,947,3,896,2
65610,West Coast,861,1,844,1,887,2,832,1
65810,West Tamar,1004,7,970,7,999,7,970,7
70200,Alice Springs,994,7,1004,8,955,3,1014,9
70420,Barkly,670,1,790,1,698,1,887,2
70540,Belyuen,471,1,662,1,475,1,801,1
70620,Central Desert,524,1,697,1,589,1,865,1
70700,Coomalie,909,2,900,2,906,2,916,3
71000,Darwin,1027,9,1036,9,979,5,1041,9
71150,Darwin Waterfront Precinct,1117,10,1165,10,960,4,1174,10
71300,East Arnhem,486,1,694,1,525,1,866,1
72200,Katherine,961,4,965,7,925,2,976,8
72300,Litchfield,1030,9,1014,9,1061,10,959,7
72330,MacDonnell,566,1,727,1,590,1,861,1
72800,Palmerston,1009,8,998,8,991,6,972,7
73600,Roper Gulf,534,1,709,1,564,1,867,1
74050,Tiwi Islands,564,1,729,1,540,1,860,1
74550,Victoria Daly,590,1,729,1,618,1,833,1
74560,Wagait,985,6,970,7,955,3,1006,9
74660,West Arnhem,530,1,728,1,534,1,881,1
74680,West Daly,439,1,677,1,488,1,899,2
79399,Unincorporated NT,1044,9,1014,9,967,4,984,8
89399,Unincorporated ACT,1071,10,1091,10,1037,9,1108,10
99399,Unincorp. Other Territories,989,6,952,5,952,3,961,7
