LGA_CODE,LGA_NAME_2021,IRSD_SCORE_2021,IRSD_DECILE_2021,IRSAD_SCORE_2021,IRSAD_DECILE_2021,IER_SCORE_2021,IER_DECILE_2021,IEO_SCORE_2021,IEO_DECILE_2021
16260,Parramatta,1029,9,1070,10,983,6,1097,10
16350,Penrith,991,6,981,8,1015,8,949,6
16380,Port Macquarie-Hastings,985,6,958,6,991,6,954,6
16400,Port Stephens,982,6,952,5,1004,8,928,4
16490,Queanbeyan-Palerang Regional,1061,10,1062,9,1061,10,1046,9
16550,Randwick,1059,10,1113,10,995,7,1122,10
16610,Richmond Valley,924,2,892,2,961,4,871,1
16700,Ryde,1055,10,1099,10,1007,8,1120,10
16900,Shellharbour,983,6,962,6,1014,8,928,4
16950,Shoalhaven,980,6,949,5,992,7,939,5
17000,Singleton,998,7,965,7,1032,9,906,3
17040,Snowy Monaro Regional,1020,8,991,8,1006,8,973,7
17080,Snowy Valleys,952,4,923,3,976,5,908,3
17100,Strathfield,1011,8,1066,10,961,4,1098,10
17150,Sutherland Shire,1079,10,1090,10,1078,10,1064,9
17200,Sydney,1031,9,1126,10,887,2,1158,10
17310,Tamworth Regional,961,4,937,4,976,5,923,4
17350,Temora,972,5,939,4,980,5,924,4
17400,Tenterfield,920,2,903,2,935,2,925,4
17420,The Hills Shire,1098,10,1136,10,1132,10,1112,10
17550,Tweed,989,6,967,7,995,7,960,7
17620,Upper Hunter Shire,975,5,943,5,999,7,912,3
17640,Upper Lachlan Shire,1022,8,995,8,1038,9,988,8
17650,Uralla,990,6,963,6,1002,7,977,8
17750,Wagga Wagga,989,6,971,7,988,6,970,7
17850,Walcha,992,7,970,7,999,7,978,8
17900,Walgett,888,2,896,2,899,2,928,4
17950,Warren,962,4,952,5,973,5,955,6
18020,Warrumbungle Shire,927,2,914,3,952,3,929,5
18050,Waverley,1092,10,1163,10,1009,8,1170,10
18100,Weddin,961,4,942,5,978,5,951,6
18200,Wentworth,974,5,949,5,989,6,941,5
18250,Willoughby,1075,10,1142,10,1034,9,1162,10
18350,Wingecarribee,1045,9,1031,9,1055,10,1020,9
18400,Wollondilly,1041,9,1020,9,1093,10,960,7
18450,Wollongong,1000,7,1000,8,993,7,999,8
18500,Woollahra,1110,10,1176,10,1043,10,1193,10
18710,Yass Valley,1065,10,1062,10,1094,10,1047,9
19399,Unincorporated NSW,1046,9,1025,9,1034,9,1000,8
20110,Alpine,1028,9,989,8,1006,8,993,8
20260,Ararat,955,4,932,4,964,4,934,5
20570,Ballarat,986,6,965,7,971,4,978,8
20660,Banyule,1058,10,1064,10,1030,9,1079,10
20740,Bass Coast,993,7,957,6,992,7,962,7
20830,Baw Baw,1003,7,971,7,1020,9,960,7
20910,Bayside (Vic.),1090,10,1127,10,1075,10,1137,10
