LGA_CODE,STATE,AGE_5_9_2024,AGE_10_14_2024,AGE_5_14_2024,AGE_5_14_SHARE_TOTAL_PCT,AGE_5_14_2019,AGE_5_14_CHANGE_5Y,AGE_5_14_GROWTH_5Y_PCT,GIRLS_5_14_2024,GIRLS_SHARE_OF_5_14_PCT,GIRLS_5_14_2019,GIRLS_5_14_CHANGE_5Y,GIRLS_5_14_GROWTH_5Y_PCT
11800,New South Wales,4761,5421,10182,12.488807663530768,9954,228,2.2905364677516573,4994,49.04733844038499,4894,100,2.043318348998774
12000,New South Wales,304,348,652,14.063848144952546,616,36,5.844155844155844,322,49.38650306748466,292,30,10.273972602739725
12150,New South Wales,303,253,556,14.337287261474987,528,28,5.303030303030303,247,44.42446043165468,243,4,1.646090534979424
12160,New South Wales,636,684,1320,11.526370939573875,1429,-109,-7.6277116864940515,596,45.151515151515156,678,-82,-12.094395280235988
12350,New South Wales,717,769,1486,11.684227079729517,1535,-49,-3.1921824104234524,747,50.26917900403769,760,-13,-1.710526315789474
12380,New South Wales,15751,14892,30643,12.119570161248857,30734,-91,-0.29608902193011,14861,48.4972098032177,14987,-126,-0.8407286314806165
12390,New South Wales,3964,3904,7868,13.791652789707094,7616,252,3.308823529411765,3860,49.05948144382308,3652,208,5.695509309967141
12700,New South Wales,624,675,1299,13.106649177681366,1216,83,6.825657894736842,610,46.95919938414165,577,33,5.719237435008666
12730,New South Wales,432,531,963,11.34008478568064,1061,-98,-9.236569274269558,418,43.40602284527518,499,-81,-16.23246492985972
12750,New South Wales,1889,2089,3978,9.673418768085986,4039,-61,-1.5102748205001237,1896,47.66214177978884,1974,-78,-3.951367781155015
12850,New South Wales,11622,13477,25099,11.81229468849126,27962,-2863,-10.238895644088405,12158,48.44017689947807,13521,-1363,-10.080615339102138
12870,New South Wales,623,764,1387,10.53951367781155,1477,-90,-6.093432633716994,677,48.810382119682764,723,-46,-6.36237897648686
12900,New South Wales,601,683,1284,13.773868268611885,1343,-59,-4.393149664929263,650,50.62305295950156,658,-8,-1.21580547112462
12930,New South Wales,7666,8474,16140,9.97885521385911,17098,-958,-5.602994502280969,7838,48.56257744733581,8293,-455,-5.486554925841071
12950,New South Wales,219,315,534,12.40418118466899,590,-56,-9.491525423728813,260,48.68913857677903,293,-33,-11.262798634812286
13010,New South Wales,436,489,925,10.272071071626874,1033,-108,-10.454985479186835,461,49.83783783783784,500,-39,-7.8
13310,New South Wales,1904,2036,3940,11.830055547215133,3975,-35,-0.8805031446540881,1897,48.14720812182741,1885,12,0.636604774535809
13340,New South Wales,764,853,1617,13.867924528301886,1631,-14,-0.8583690987124464,777,48.05194805194805,776,1,0.12886597938144329
13450,New South Wales,1650,1737,3387,12.34689413823272,3615,-228,-6.3070539419087135,1667,49.21759669323885,1764,-97,-5.498866213151928
13550,New South Wales,1020,1021,2041,15.215446548382285,1899,142,7.477619799894682,961,47.084762371386574,934,27,2.890792291220557
13660,New South Wales,288,359,647,13.153079894287456,667,-20,-2.998500749625187,287,44.35857805255023,316,-29,-9.177215189873419
13800,New South Wales,4262,4358,8620,12.55845801949329,8956,-336,-3.7516748548459136,4140,48.027842227378194,4330,-190,-4.387990762124711
13850,New South Wales,153,140,293,10.219741890477852,323,-30,-9.287925696594428,156,53.242320819112635,159,-3,-1.8867924528301887
13910,New South Wales,1186,1377,2563,13.216108905275098,2596,-33,-1.2711864406779663,1231,48.02965275068279,1275,-44,-3.4509803921568625
14000,New South Wales,9806,11317,21123,13.639533532214948,21154,-31,-0.1465443887680817,10108,47.85305117644274,10222,-114,-1.1152416356877324
14100,New South Wales,728,1021,1749,12.45105716523101,1953,-204,-10.44546850998464,799,45.683247570040024,898,-99,-11.024498886414253
14170,New South Wales,8101,8480,16581,8.673295915218153,18544,-1963,-10.585634167385678,8138,49.080272601170016,9100,-962,-10.571428571428571
