LGA_CODE,LGA_NAME,STATE,TOTAL_POP_2020,TOTAL_POP_2024,TOTAL_POP_2025,POP_CHANGE_1Y,POP_GROWTH_1Y_PCT,POP_CHANGE_5Y,POP_GROWTH_5Y_PCT,IS_UNINCORPORATED,AGE_5_9_2024,AGE_10_14_2024,AGE_5_14_2024,AGE_5_14_SHARE_TOTAL_PCT,AGE_5_14_2019,AGE_5_14_CHANGE_5Y,AGE_5_14_GROWTH_5Y_PCT,GIRLS_5_14_2024,GIRLS_SHARE_OF_5_14_PCT,GIRLS_5_14_2019,GIRLS_5_14_CHANGE_5Y,GIRLS_5_14_GROWTH_5Y_PCT,LGA_NAME_2021,IRSD_SCORE_2021,IRSD_DECILE_2021,IRSAD_SCORE_2021,IRSAD_DECILE_2021,IER_SCORE_2021,IER_DECILE_2021,IEO_SCORE_2021,IEO_DECILE_2021,AGE_DATA_AVAILABLE,SEIFA_DATA_AVAILABLE,CULTURAL_DATA_AVAILABLE,CRICKET_SUPPLY_DATA_AVAILABLE
14650,Lake Macquarie,New South Wales,211954,222144,224540,2396,1.0785796600403341,12586,5.93808090434717,0,13559,14269,27828,12.527009507346587,26293,1535,5.838055756284943,13551,48.69555843035791,12776,775,6.066061365059486,Lake Macquarie,1004,7,981,7,1011,8,963,7,1,1,0,0
14700,Lane Cove,New South Wales,40067,42594,43094,500,1.1738742545898482,3027,7.554845633563781,0,2379,2384,4763,11.182326149222895,4739,24,0.5064359569529436,2295,48.18391769892925,2272,23,1.012323943661972,Lane Cove,1105,10,1162,10,1058,10,1180,10,1,1,0,0
14750,Leeton,New South Wales,11500,11502,11475,-27,-0.2347417840375587,-25,-0.21739130434782608,0,780,968,1748,15.197356981394542,1718,30,1.7462165308498252,861,49.25629290617849,868,-7,-0.8064516129032258,Leeton,949,3,922,3,979,5,896,2,1,1,0,0
14850,Lismore,New South Wales,44316,43750,43642,-108,-0.24685714285714286,-674,-1.5208953876703675,0,2310,2874,5184,11.849142857142857,5601,-417,-7.445099089448312,2522,48.6496913580247,2682,-160,-5.965697240865026,Lismore,966,5,945,5,970,4,959,7,1,1,0,0
14870,Lithgow,New South Wales,21063,20787,20693,-94,-0.45220570548900757,-370,-1.7566348573327637,0,1054,1214,2268,10.910665319670947,2495,-227,-9.098196392785571,1132,49.91181657848324,1219,-87,-7.136997538966367,Lithgow,935,3,912,3,960,3,889,2,1,1,0,0
14900,Liverpool,New South Wales,231268,255367,261231,5864,2.296302967885435,29963,12.955964508708512,0,18228,18747,36975,14.479161363841058,33875,3100,9.15129151291513,17757,48.02434077079107,16423,1334,8.122754673323996,Liverpool,931,3,968,7,999,7,976,8,1,1,0,0
14920,Liverpool Plains,New South Wales,7702,7679,7671,-8,-0.10418023180101575,-31,-0.40249285899766296,0,422,499,921,11.993749186091938,1003,-82,-8.175473579262214,417,45.27687296416938,481,-64,-13.305613305613306,Liverpool Plains,926,2,905,2,951,3,896,2,1,1,0,0
14950,Lockhart,New South Wales,3308,3488,3509,21,0.6020642201834863,201,6.076178960096735,0,256,243,499,14.30619266055046,458,41,8.951965065502183,243,48.69739478957916,247,-4,-1.6194331983805668,Lockhart,976,5,950,5,1002,7,961,7,1,1,0,0
15050,Maitland,New South Wales,87920,98232,100439,2207,2.2467220457691996,12519,14.239080982711554,0,6935,7011,13946,14.197003013274697,12465,1481,11.881267549137585,6835,49.01046895167073,6059,776,12.80739395939924,Maitland,988,6,963,6,1015,8,934,5,1,1,0,0
15240,Mid-Coast,New South Wales,95731,98750,99448,698,0.7068354430379747,3717,3.88275480251956,0,4679,5415,10094,10.221772151898733,10294,-200,-1.9428793471925394,4950,49.03903308896374,4996,-46,-0.9207365892714172,Mid-Coast,943,3,912,3,963,4,905,3,1,1,0,0
15270,Mid-Western,New South Wales,25589,26301,26472,171,0.6501653929508384,883,3.450701473289304,0,1767,1871,3638,13.832173681609063,3473,165,4.750935790382954,1715,47.1412864211105,1707,8,0.46865846514352666,Mid-Western Regional,979,5,949,5,1002,7,919,4,1,1,0,0
15300,Moree Plains,New South Wales,13047,12879,12845,-34,-0.26399565183632273,-202,-1.5482486395339925,0,843,916,1759,13.657892693532107,1851,-92,-4.970286331712588,832,47.299602046617395,907,-75,-8.26901874310915,Moree Plains,940,3,932,4,946,3,927,4,1,1,0,0
15350,Mosman,New South Wales,29543,29284,29374,90,0.3073350635159131,-169,-0.5720475239481434,0,1484,1781,3265,11.149433137549515,3551,-286,-8.05406927626021,1660,50.84226646248086,1752,-92,-5.251141552511415,Mosman,1110,10,1169,10,1065,10,1185,10,1,1,0,0
15520,Murray River,New South Wales,12572,13675,14030,355,2.5959780621572213,1458,11.597200127266943,0,751,854,1605,11.736745886654479,1494,111,7.429718875502007,813,50.654205607476634,738,75,10.16260162601626,Murray River,998,7,965,7,1007,8,940,5,1,1,0,0
15560,Murrumbidgee,New South Wales,3625,3687,3695,8,0.21697857336588014,70,1.9310344827586208,0,210,198,408,11.065907241659886,490,-82,-16.73469387755102,175,42.8921568627451,219,-44,-20.091324200913242,Murrumbidgee,983,6,951,5,988,6,937,5,1,1,0,0
15650,Muswellbrook,New South Wales,16539,16850,16859,9,0.05341246290801187,320,1.9348207267670354,0,1180,1240,2420,14.362017804154304,2485,-65,-2.61569416498994,1149,47.4793388429752,1166,-17,-1.4579759862778732,Muswellbrook,937,3,908,2,972,4,862,1,1,1,0,0
15700,Nambucca Valley,New South Wales,20290,21050,21237,187,0.8883610451306413,947,4.667323804829966,0,1084,1176,2260,10.736342042755345,2338,-78,-3.3361847733105217,1099,48.6283185840708,1145,-46,-4.017467248908297,Nambucca Valley,920,2,898,2,946,3,906,3,1,1,0,0
15750,Narrabri,New South Wales,12990,12842,12797,-45,-0.3504127083008877,-193,-1.4857582755966128,0,807,894,1701,13.245600373773556,1878,-177,-9.424920127795527,822,48.32451499118166,964,-142,-14.730290456431536,Narrabri,964,4,936,4,975,5,912,3,1,1,0,0
15800,Narrandera,New South Wales,5787,5740,5761,21,0.3658536585365854,-26,-0.4492828754104027,0,360,431,791,13.78048780487805,854,-63,-7.377049180327869,374,47.281921618204805,429,-55,-12.82051282051282,Narrandera,929,2,910,3,950,3,907,3,1,1,0,0
15850,Narromine,New South Wales,6521,6430,6420,-10,-0.15552099533437014,-101,-1.5488422021162398,0,410,483,893,13.888024883359254,1006,-113,-11.232604373757455,421,47.1444568868981,461,-40,-8.676789587852495,Narromine,958,4,934,4,980,5,929,5,1,1,0,0
15900,Newcastle,New South Wales,168242,176988,178935,1947,1.1000745813275477,10693,6.355725680864468,0,8966,9479,18445,10.421610504666983,18612,-167,-0.8972705781216419,8905,48.27866630523177,8941,-36,-0.4026395257801141,Newcastle,1012,8,1012,9,976,5,1023,9,1,1,0,0
