LGA_CODE,LGA_NAME,STATE,TOTAL_POP_2020,TOTAL_POP_2024,TOTAL_POP_2025,POP_CHANGE_1Y,POP_GROWTH_1Y_PCT,POP_CHANGE_5Y,POP_GROWTH_5Y_PCT,IS_UNINCORPORATED
19399,Unincorporated NSW,New South Wales,1055,987,975,-12,-1.21580547112462,-80,-7.5829383886255926,1
20110,Alpine,Victoria,13054,13115,13236,121,0.9226077011056042,182,1.3942086716715183,0
20260,Ararat,Victoria,11918,11625,11732,107,0.9204301075268817,-186,-1.5606645410303743,0
20570,Ballarat,Victoria,111645,120559,122661,2102,1.7435446544845263,11016,9.866989117291416,0
20660,Banyule,Victoria,130294,131460,132770,1310,0.9965008367564279,2476,1.900317742950558,0
20740,Bass Coast,Victoria,38950,43468,44377,909,2.0911935216711144,5427,13.933247753530168,0
20830,Baw Baw,Victoria,55753,61793,62784,991,1.6037415241208552,7031,12.61098057503632,0
20910,Bayside (Vic.),Victoria,105018,105833,107164,1331,1.2576417563519884,2146,2.043459216515264,0
21010,Benalla,Victoria,14382,14552,14581,29,0.19928532160527762,199,1.3836740369906828,0
21110,Boroondara,Victoria,177875,177345,178601,1256,0.7082240830020581,726,0.4081517919887562,0
21180,Brimbank,Victoria,204213,197498,198181,683,0.34582628684847444,-6032,-2.9537786526812693,0
21270,Buloke,Victoria,6156,5921,5887,-34,-0.5742273264651241,-269,-4.369720597790773,0
21370,Campaspe,Victoria,38379,37984,37954,-30,-0.07898062342038753,-425,-1.1073764298183904,0
21450,Cardinia,Victoria,116505,130091,133472,3381,2.598949965793176,16967,14.56332346251234,0
21610,Casey,Victoria,363970,404208,414929,10721,2.6523473063373313,50959,14.00087919334011,0
21670,Central Goldfields,Victoria,13304,13682,13753,71,0.5189299809969303,449,3.3749248346361997,0
21750,Colac Otway,Victoria,22274,22208,22209,1,0.0045028818443804035,-65,-0.29182005926191973,0
21830,Corangamite,Victoria,16108,15759,15712,-47,-0.2982422742559807,-396,-2.4584057611124908,0
21890,Darebin,Victoria,157056,159249,162496,3247,2.038945299499526,5440,3.463732681336593,0
22110,East Gippsland,Victoria,47874,49183,49669,486,0.9881463107171177,1795,3.749425575468939,0
22170,Frankston,Victoria,142191,144291,145369,1078,0.7471013438121574,3178,2.2350219071530546,0
22250,Gannawarra,Victoria,10575,10338,10311,-27,-0.261172373766686,-264,-2.49645390070922,0
22310,Glen Eira,Victoria,154656,160534,163025,2491,1.551696213886155,8369,5.411364576867371,0
22410,Glenelg,Victoria,20055,19908,19908,0,0.0,-147,-0.7329842931937173,0
22490,Golden Plains,Victoria,24366,26217,26620,403,1.5371705382004042,2254,9.250595091520971,0
22620,Greater Bendigo,Victoria,119958,125293,126568,1275,1.0176147111171414,6610,5.510261925007086,0
22670,Greater Dandenong,Victoria,165648,166747,168684,1937,1.1616400894768721,3036,1.832802086351782,0
22750,Greater Geelong,Victoria,266036,288676,295052,6376,2.2087045684435145,29016,10.906794569156055,0
22830,Greater Shepparton,Victoria,68474,69444,69865,421,0.6062438799608317,1391,2.031427987265239,0
22910,Hepburn,Victoria,16339,16817,17011,194,1.153594576916216,672,4.112858804088377,0
22980,Hindmarsh,Victoria,5668,5438,5447,9,0.16550202280250093,-221,-3.89908256880734,0
23110,Hobsons Bay,Victoria,95193,95324,97031,1707,1.7907347572489616,1838,1.9308142405428972,0
23190,Horsham,Victoria,20385,20267,20252,-15,-0.07401194059308235,-133,-0.6524405199901889,0
23270,Hume,Victoria,243643,270763,278885,8122,2.9996712992543295,35242,14.464606001403693,0
23350,Indigo,Victoria,17115,17618,17758,140,0.794641843569077,643,3.7569383581653524,0
23430,Kingston (Vic.),Victoria,163196,166071,168061,1990,1.1982826622348273,4865,2.981077967597245,0
23670,Knox,Victoria,163242,162956,163820,864,0.5302044723729105,578,0.3540755442839465,0
23810,Latrobe (Vic.),Victoria,76714,78474,79112,638,0.8130081300813009,2398,3.1258961858330943,0
23940,Loddon,Victoria,7657,7721,7718,-3,-0.03885507058671157,61,0.7966566540420531,0
24130,Macedon Ranges,Victoria,50894,53585,54464,879,1.6403844359428945,3570,7.0145793217275125,0
24210,Manningham,Victoria,127987,131363,132912,1549,1.1791752624407177,4925,3.8480470672802705,0
24250,Mansfield,Victoria,9792,10770,10979,209,1.9405756731662025,1187,12.122140522875817,0
24330,Maribyrnong,Victoria,89418,93723,94672,949,1.0125582834523008,5254,5.87577445257107,0
24410,Maroondah,Victoria,118295,119072,120247,1175,0.986797903789304,1952,1.6501120081153051,0
24600,Melbourne,Victoria,170589,187565,194481,6916,3.6872550849039003,23892,14.005592388723775,0
24650,Melton,Victoria,173566,218894,231567,12673,5.789560243770957,58001,33.417259140615094,0
24700,Merri-bek,Victoria,180030,185486,189108,3622,1.9527080210905408,9078,5.042492917847025,0
24780,Mildura,Victoria,57335,57134,57309,175,0.3062974761087969,-26,-0.04534751896747188,0
24850,Mitchell,Victoria,48073,56079,58459,2380,4.2440129103586015,10386,21.60464293886381,0
24900,Moira,Victoria,30298,30641,30866,225,0.7343102379165172,568,1.8747112020595418,0
24970,Monash,Victoria,200791,208598,211833,3235,1.5508298257893172,11042,5.499250464413246,0
25060,Moonee Valley,Victoria,126786,129224,130501,1277,0.9882065251036959,3715,2.930134241951004,0
25150,Moorabool,Victoria,36944,39709,40472,763,1.9214787579641894,3528,9.549588566478995,0
25340,Mornington Peninsula,Victoria,170186,170857,172217,1360,0.795987287614789,2031,1.193400162175502,0
25430,Mount Alexander,Victoria,19939,20717,20939,222,1.0715837235120915,1000,5.015296654797131,0
25490,Moyne,Victoria,17091,17666,17760,94,0.532095550775501,669,3.9143408811655256,0
25620,Murrindindi,Victoria,14872,15550,15648,98,0.6302250803858521,776,5.21785906401291,0
25710,Nillumbik,Victoria,64322,63528,63797,269,0.4234353356000504,-525,-0.8162059637449084,0
25810,Northern Grampians,Victoria,11805,11724,11804,80,0.6823609689525759,-1,-0.00847098686997035,0
25900,Port Phillip,Victoria,110574,112244,114434,2190,1.9511065179430527,3860,3.4908748892144628,0
25990,Pyrenees,Victoria,7544,7926,7957,31,0.3911178400201868,413,5.474549310710499,0
26080,Queenscliffe,Victoria,3095,3283,3317,34,1.0356381358513556,222,7.172859450726979,0
26170,South Gippsland,Victoria,30272,30937,31109,172,0.555968581310405,837,2.764931289640592,0
26260,Southern Grampians,Victoria,16506,16450,16483,33,0.2006079027355623,-23,-0.13934326911426148,0
26350,Stonnington,Victoria,112610,113360,114789,1429,1.2605857445306987,2179,1.9349968919278926,0
26430,Strathbogie,Victoria,11158,11695,11839,144,1.2312954253954682,681,6.1032443090159525,0
26490,Surf Coast,Victoria,35827,39834,40265,431,1.0819902595772455,4438,12.38730566332654,0
26610,Swan Hill,Victoria,21499,20931,20962,31,0.14810568056949022,-537,-2.497790594911391,0
26670,Towong,Victoria,6170,6143,6158,15,0.24418036789842099,-12,-0.1944894651539708,0
26700,Wangaratta,Victoria,29517,30038,30089,51,0.16978493907716893,572,1.9378663143273367,0
26730,Warrnambool,Victoria,35418,35898,36255,357,0.994484372388434,837,2.363205149923768,0
26810,Wellington,Victoria,45105,46277,46551,274,0.592086781770642,1446,3.2058530096441635,0
26890,West Wimmera,Victoria,3994,3903,3915,12,0.3074558032282859,-79,-1.9779669504256383,0
26980,Whitehorse,Victoria,176794,182809,185256,2447,1.3385555415761805,8462,4.786361528106157,0
27070,Whittlesea,Victoria,231040,252438,259759,7321,2.9001180487882174,28719,12.430315096952908,0
27170,Wodonga,Victoria,42666,44203,44717,514,1.162817003370812,2051,4.807106361036891,0
27260,Wyndham,Victoria,287292,335320,347830,12510,3.730764642729333,60538,21.07194074321596,0
27350,Yarra,Victoria,96662,99922,101356,1434,1.4351193931266388,4694,4.856096501210403,0
27450,Yarra Ranges,Victoria,158876,159779,160906,1127,0.7053492636704448,2030,1.2777260253279288,0
27630,Yarriambiack,Victoria,6641,6311,6295,-16,-0.2535255902392648,-346,-5.210058726095468,0
29399,Unincorporated Vic,Victoria,934,945,917,-28,-2.9629629629629632,-17,-1.8201284796573876,1
30250,Aurukun,Queensland,1196,1158,1165,7,0.6044905008635579,-31,-2.591973244147157,0
30300,Balonne,Queensland,4392,4345,4350,5,0.11507479861910241,-42,-0.9562841530054645,0
30370,Banana,Queensland,14587,15040,15144,104,0.6914893617021276,557,3.818468499348735,0
30410,Barcaldine,Queensland,2862,2910,2937,27,0.9278350515463918,75,2.6205450733752618,0
30450,Barcoo,Queensland,302,315,321,6,1.9047619047619049,19,6.291390728476822,0
30760,Blackall Tambo,Queensland,1919,1962,1975,13,0.6625891946992865,56,2.918186555497655,0
30900,Boulia,Queensland,458,481,489,8,1.6632016632016633,31,6.768558951965066,0
31000,Brisbane,Queensland,1263500,1353837,1375301,21464,1.585419810508946,111801,8.848516026909378,0
31750,Bulloo,Queensland,340,345,347,2,0.5797101449275363,7,2.0588235294117645,0
31820,Bundaberg,Queensland,98883,105895,107297,1402,1.323952972283866,8414,8.509046044314998,0
31900,Burdekin,Queensland,16934,17134,17220,86,0.501925995097467,286,1.6889098854375812,0
31950,Burke,Queensland,415,444,449,5,1.1261261261261262,34,8.19277108433735,0
32080,Cairns,Queensland,168710,177573,179334,1761,0.9917048199895254,10624,6.297196372473475,0
32250,Carpentaria,Queensland,2118,2220,2247,27,1.2162162162162162,129,6.090651558073654,0
32260,Cassowary Coast,Queensland,29608,30365,30666,301,0.991272847027828,1058,3.573358551742772,0
32270,Central Highlands (Qld),Queensland,28524,29301,29481,180,0.6143135046585441,957,3.355069415229281,0
32310,Charters Towers,Queensland,11923,12030,12088,58,0.48212801330008315,165,1.383879895999329,0
32330,Cherbourg,Queensland,1220,1274,1289,15,1.1773940345368918,69,5.655737704918033,0
32450,Cloncurry,Queensland,3528,3882,3907,25,0.6439979392065945,379,10.742630385487528,0
32500,Cook,Queensland,4579,4825,4876,51,1.0569948186528497,297,6.486132343306399,0
32600,Croydon,Queensland,269,270,273,3,1.1111111111111112,4,1.486988847583643,0
32750,Diamantina,Queensland,273,264,265,1,0.3787878787878788,-8,-2.93040293040293,0
32770,Doomadgee,Queensland,1459,1471,1484,13,0.8837525492861998,25,1.7135023989033584,0
32810,Douglas,Queensland,12371,13038,13169,131,1.0047553305721737,798,6.450569881173712,0
33100,Etheridge,Queensland,731,721,727,6,0.8321775312066574,-4,-0.5471956224350205,0
