RANK_BALANCED,LGA_CODE,LGA_NAME,STATE,SCORE_BALANCED,SCORE_MARKET_SIZE,SCORE_YOUTH_INTENSITY,SCORE_GROWTH_MOMENTUM,SCORE_GROWTH_ABSOLUTE,SCORE_GROWTH_RATE,AGE_5_14_2024,AGE_5_14_SHARE_TOTAL_PCT,AGE_5_14_CHANGE_5Y,AGE_5_14_GROWTH_5Y_PCT,TOTAL_POP_2025,RANK_GROWTH_LED,RANK_SCALE_LED,RANK_INTENSITY_LED,SCORE_GROWTH_LED,SCORE_SCALE_LED,SCORE_INTENSITY_LED,TOP20_SCENARIO_APPEARANCES,ROBUSTNESS_LABEL
11,14900,Liverpool,New South Wales,93.0593607305936,96.43835616438356,90.41095890410958,92.32876712328768,96.16438356164385,88.4931506849315,36975.0,14.479161363841058,3100.0,9.15129151291513,261231.0,14,11,11,92.97260273972603,94.0958904109589,92.6986301369863,4,Robust Top-20
12,11500,Campbelltown (NSW),New South Wales,92.87671232876711,93.15068493150685,91.23287671232877,94.24657534246575,95.61643835616438,92.87671232876711,27490.0,14.580073722453527,2868.0,11.648119567866136,191285.0,13,12,12,93.36986301369862,93.24657534246575,92.56164383561644,4,Robust Top-20
13,27070,Whittlesea,Victoria,92.28310502283104,95.8904109589041,84.93150684931507,96.02739726027397,97.26027397260275,94.79452054794521,35187.0,13.938868157725857,4315.0,13.977066597564136,259759.0,12,10,16,93.77397260273973,94.2945205479452,90.9931506849315,4,Robust Top-20
14,58050,Swan,Western Australia,91.91780821917808,92.05479452054794,86.3013698630137,97.39726027397259,96.98630136986301,97.80821917808218,25315.0,14.0720193889803,3998.0,18.754984284843083,187090.0,11,13,17,93.84246575342466,93.06164383561642,90.80136986301369,4,Robust Top-20
15,58760,Wanneroo,Western Australia,91.87214611872146,95.61643835616438,89.04109589041096,90.95890410958904,95.34246575342465,86.57534246575342,34092.0,14.287390619237602,2706.0,8.621678455362265,246147.0,17,14,14,91.73972602739727,93.0,91.49315068493149,4,Robust Top-20
16,45680,Playford,South Australia,91.55251141552512,84.10958904109589,95.34246575342465,95.2054794520548,94.24657534246576,96.16438356164385,16891.0,15.157987310760726,2368.0,16.305171107897817,115790.0,16,18,13,92.45890410958904,89.67808219178082,91.93835616438356,4,Robust Top-20
17,21450,Cardinia,Victoria,91.5068493150685,87.3972602739726,91.78082191780823,95.34246575342465,94.79452054794521,95.8904109589041,19236.0,14.786572476189743,2541.0,15.220125786163521,133472.0,15,16,15,92.64383561643837,90.83561643835617,91.35616438356166,4,Robust Top-20
18,57490,Rockingham,Western Australia,88.7214611872146,90.13698630136986,87.94520547945206,88.08219178082192,92.05479452054794,84.10958904109589,22009.0,14.203386767856681,1499.0,7.308629936616285,159934.0,20,20,18,88.56849315068493,89.08904109589041,88.63698630136987,4,Robust Top-20
19,53780,Gosnells,Western Australia,87.67123287671234,88.21917808219179,82.46575342465754,92.32876712328768,93.69863013698631,90.95890410958904,19569.0,13.802856639040733,1890.0,10.690649923638215,144475.0,18,21,21,89.32876712328768,88.79452054794521,86.65753424657535,2,Near Top-20
20,15050,Maitland,New South Wales,86.98630136986301,80.82191780821918,87.67123287671232,92.46575342465754,91.78082191780823,93.15068493150685,13946.0,14.197003013274697,1481.0,11.881267549137585,100439.0,19,27,20,88.5958904109589,85.92465753424656,86.81506849315069,3,Near Top-20
